title,cuisine,type,state,famous location,taste,price
dosa,south indian,healthy,solid,chennai,spicy,60
maggi,chinese,fastfood,solid,hostel,spicy,30
susi,japanese,healthy,solid,tokyo,spicy,200
dal bati,rajasthani,healthy,mixed,chokhi dhani,spicy,150
pav bhaji,north indian,fastfood,mixed,delhi,spicy,60
pizza,italian,fastfood,solid,domino,cheesy,300
burger,italian,fastfood,solid,burger king,spicy,80
noodles,chinese,fastfood,solid,china town,spicy,60
litti chokha,bihari,healthy,mixed,patna,spicy,120
curry,indian,healthy,liquid,amritsar,spicy,110
chapati,indian,healthy,solid,sweet home,neutral,15
momos,chinese,fastfood,solid,thapa ke momos,spicy,80
sandwich,italian,fastfood,solid,kanha,spicy,50
tacos,mexican,fastfood,solid,GT,spicy,150
vada pav,mumbai,fastfood,solid,ghunghroo seth,spicy,40
maza,USA,cold drink,liquid,bakery,sweet,10
panipuri,north indian,fastfood,mixed,golu ke gol gappe,spicy,10
coca cola,USA,cold drink,liquid,bakery,sweet,20
curd,indian,healthy,liquid,dairy,sweet,15
lassi,punjabi,cold drink,liquid,dairy,sweet,15
chhole bhature,punjabi,fastfood,mixed,delhi,spicy,50
tea,global,hot drink,liquid,gulab,sweet,5
pasta,italian,fastfood,solid,cluster,spicy,150
chhole kulche,delhi,fastfood,mixed,amul parlour,spicy,70
idli sambhar,south indian,healthy,mixed,dosa seth,spicy,50
coffee,global,drink,liquid,NBC,sweet,50
lasgana,italian,fastfood,mixed,mamus in fusion,neutral,250
pastry,global,desert,solid,bakery,sweet,30
cakes,global,desert,solid,bakery,sweet,450
veg roll,chinese,fastfood,solid,roll express,spicy,50
kimchi,korean,healthy,solid,seol,spicy,350
